	epoch	option_close	vix_close	nifty_close
0	1655783100	787.35	21.92	15467.55
1	1655783160	787.35	21.83	15455.3
2	1655783220	787.35	21.83	15456.0
3	1655783280	787.35	21.75	15474.95
4	1655783340	787.35	21.71	15480.35
5	1655783400	787.35	21.74	15480.75
6	1655783460	787.35	21.77	15470.95
7	1655783520	787.35	21.81	15457.9
8	1655783580	787.35	21.83	15466.1
9	1655783700	787.35	21.76	15457.65
10	1655783760	787.35	21.79	15467.75
11	1655783820	787.35	21.82	15451.05
12	1655783880	787.35	21.78	15438.45
13	1655783940	787.35	21.76	15439.4
14	1655784000	787.35	21.82	15438.7
15	1655784060	787.35	21.82	15426.15
16	1655784120	787.35	21.81	15429.9
17	1655784180	787.35	21.82	15438.8
18	1655784240	787.35	21.72	15460.1
19	1655784300	787.35	21.69	15460.2
20	1655784360	787.35	21.68	15468.8
21	1655784420	787.35	21.64	15466.4
22	1655784480	787.35	21.65	15461.85
23	1655784540	787.35	21.64	15468.15
24	1655784660	787.35	21.64	15461.7
25	1655784720	787.35	21.62	15461.4
26	1655784780	787.35	21.65	15464.85
27	1655784840	787.35	21.63	15467.45
28	1655784900	787.35	21.65	15468.3
29	1655784960	787.35	21.65	15473.15
30	1655785020	787.35	21.59	15480.5
31	1655785080	787.35	21.55	15491.0
32	1655785140	787.35	21.51	15502.85
33	1655785200	787.35	21.5	15511.0
34	1655785260	787.35	21.46	15515.6
35	1655785320	787.35	21.48	15514.3
36	1655785380	787.35	21.51	15529.45
37	1655785440	787.35	21.49	15528.85
38	1655785500	787.35	21.47	15530.9
39	1655785560	787.35	21.45	15526.25
40	1655785620	787.35	21.43	15528.45
41	1655785680	787.35	21.41	15542.6
42	1655785740	787.35	21.44	15544.95
43	1655785800	787.35	21.44	15541.55
44	1655785860	787.35	21.41	15541.7
45	1655785920	787.35	21.39	15550.15
46	1655785980	787.35	21.4	15547.4
47	1655786040	787.35	21.39	15557.25
48	1655786100	787.35	21.38	15558.6
49	1655786160	787.35	21.35	15561.35
50	1655786220	787.35	21.38	15550.6
51	1655786280	787.35	21.34	15545.0
52	1655786340	787.35	21.33	15546.55
53	1655786400	787.35	21.31	15560.4
54	1655786460	787.35	21.32	15563.65
55	1655786520	787.35	21.36	15550.85
56	1655786580	787.35	21.35	15554.7
57	1655786640	787.35	21.33	15557.5
58	1655786700	787.35	21.36	15560.2
59	1655786760	787.35	21.36	15556.65
60	1655786820	787.35	21.35	15553.8
61	1655786880	787.35	21.36	15545.1
62	1655786940	787.35	21.37	15551.2
63	1655787000	787.35	21.39	15548.35
64	1655787060	787.35	21.4	15550.4
65	1655787120	787.35	21.44	15550.15
66	1655787180	787.35	21.43	15558.7
67	1655787240	787.35	21.43	15578.4
68	1655787300	787.35	21.43	15581.8
69	1655787360	787.35	21.43	15580.75
70	1655787420	787.35	21.41	15576.4
71	1655787480	787.35	21.42	15571.45
72	1655787540	787.35	21.43	15577.0
73	1655787600	787.35	21.45	15576.4
74	1655787660	787.35	21.46	15575.65
75	1655787720	787.35	21.46	15576.85
76	1655787780	787.35	21.45	15584.75
77	1655787840	787.35	21.42	15588.75
78	1655787900	787.35	21.51	15587.55
79	1655787960	787.35	21.51	15586.1
80	1655788020	787.35	21.49	15587.2
81	1655788080	787.35	21.48	15574.85
82	1655788140	787.35	21.46	15578.9
83	1655788200	787.35	21.48	15574.95
84	1655788260	787.35	21.48	15584.9
85	1655788320	787.35	21.49	15589.6
86	1655788380	787.35	21.49	15585.35
87	1655788440	787.35	21.46	15583.45
88	1655788500	787.35	21.48	15581.4
89	1655788560	787.35	21.47	15575.8
90	1655788620	787.35	21.49	15567.0
91	1655788680	787.35	21.47	15564.65
92	1655788740	787.35	21.47	15576.4
93	1655788800	787.35	21.48	15571.75
94	1655788860	787.35	21.49	15569.2
95	1655788920	787.35	21.48	15566.0
96	1655788980	787.35	21.47	15571.65
97	1655789040	787.35	21.48	15569.5
98	1655789100	787.35	21.51	15576.9
99	1655789160	787.35	21.51	15584.35
100	1655789220	787.35	21.5	15578.5
101	1655789280	787.35	21.5	15577.75
102	1655789340	787.35	21.52	15581.0
103	1655789400	787.35	21.49	15577.7
104	1655789460	787.35	21.5	15574.9
105	1655789520	787.35	21.48	15579.1
106	1655789580	787.35	21.47	15572.9
107	1655789640	787.35	21.47	15575.85
108	1655789700	787.35	21.47	15576.45
109	1655789760	787.35	21.49	15574.6
110	1655789820	787.35	21.48	15578.65
111	1655789880	787.35	21.48	15577.95
112	1655789940	787.35	21.47	15577.5
113	1655790000	787.35	21.44	15575.95
114	1655790060	787.35	21.45	15575.55
115	1655790120	787.35	21.45	15574.5
116	1655790180	787.35	21.43	15573.95
117	1655790240	787.35	21.44	15582.45
118	1655790300	787.35	21.45	15583.45
119	1655790360	787.35	21.47	15592.25
120	1655790420	787.35	21.5	15584.4
121	1655790480	787.35	21.5	15582.5
122	1655790540	787.35	21.5	15576.3
123	1655790600	787.35	21.49	15579.4
124	1655790660	787.35	21.48	15570.15
125	1655790720	787.35	21.49	15564.15
126	1655790780	787.35	21.5	15568.2
127	1655790840	787.35	21.49	15566.65
128	1655790900	787.35	21.47	15566.0
129	1655790960	787.35	21.48	15571.2
130	1655791020	787.35	21.49	15576.05
131	1655791080	787.35	21.5	15567.7
132	1655791140	787.35	21.49	15571.5
133	1655791200	787.35	21.5	15572.3
134	1655791260	787.35	21.5	15574.75
135	1655791320	787.35	21.46	15577.6
136	1655791380	787.35	21.45	15577.6
137	1655791440	787.35	21.44	15578.85
