	epoch	option_close	vix_close	nifty_close
0	1655437500	287.1	23.38	15243.6
1	1655437560	269.8	23.18	15263.75
2	1655437620	272.9	23.53	15255.15
3	1655437680	247.95	23.38	15291.65
4	1655437740	252.6	23.17	15279.45
5	1655437800	245.0	23.08	15293.35
6	1655437860	240.65	23.23	15304.0
7	1655437920	248.9	23.41	15289.55
8	1655437980	263.25	23.61	15266.55
9	1655438040	266.0	23.64	15259.65
10	1655438100	265.6	23.61	15259.55
11	1655438160	262.2	23.54	15264.25
12	1655438220	274.5	23.56	15241.0
13	1655438280	288.3	23.6	15218.9
14	1655438340	295.2	23.5	15208.65
15	1655438400	296.9	23.52	15205.0
16	1655438460	296.6	23.61	15203.45
17	1655438520	299.85	23.62	15204.9
18	1655438580	294.4	23.59	15212.55
19	1655438640	293.8	23.48	15214.85
20	1655438700	276.25	23.4	15241.55
21	1655438760	281.6	23.41	15238.25
22	1655438820	277.15	23.41	15239.85
23	1655438880	271.6	23.34	15249.65
24	1655438940	268.65	23.32	15253.05
25	1655439000	260.95	23.25	15262.55
26	1655439060	242.0	23.14	15294.65
27	1655439120	212.8	23.01	15347.15
28	1655439180	208.65	22.97	15365.45
29	1655439240	215.7	23.15	15350.05
30	1655439300	224.1	23.15	15335.55
31	1655439360	210.25	23.07	15358.8
32	1655439420	212.7	23.08	15355.75
33	1655439480	203.85	23.01	15371.75
34	1655439540	196.6	22.94	15383.45
35	1655439600	196.3	22.88	15385.05
36	1655439660	201.4	22.95	15377.0
37	1655439720	200.2	22.92	15379.9
38	1655439780	213.75	23.12	15351.9
39	1655439840	217.7	23.1	15339.0
40	1655439900	213.05	23.11	15346.55
41	1655439960	223.65	23.1	15332.5
42	1655440020	225.9	23.21	15325.65
43	1655440080	219.0	23.18	15337.15
44	1655440140	210.0	23.13	15350.85
45	1655440200	214.3	23.15	15347.95
46	1655440260	218.6	23.18	15340.45
47	1655440320	216.2	23.21	15345.4
48	1655440380	218.3	23.19	15337.45
49	1655440440	224.2	23.25	15332.75
50	1655440500	228.8	23.3	15325.3
51	1655440560	226.95	23.28	15324.7
52	1655440620	238.75	23.29	15305.6
53	1655440680	241.05	23.34	15299.5
54	1655440740	241.2	23.34	15299.7
55	1655440800	256.25	23.41	15278.1
56	1655440860	254.85	23.39	15278.75
57	1655440920	244.0	23.39	15293.3
58	1655440980	227.8	23.23	15317.35
59	1655441040	248.8	23.31	15292.1
60	1655441100	245.9	23.34	15297.05
61	1655441160	250.7	23.42	15283.25
62	1655441220	241.35	23.43	15298.65
63	1655441280	246.6	23.44	15292.0
64	1655441340	241.35	23.44	15300.2
65	1655441400	243.45	23.49	15296.15
66	1655441460	237.45	23.39	15308.35
67	1655441520	240.6	23.36	15300.7
68	1655441580	246.05	23.37	15292.75
69	1655441640	250.3	23.43	15286.65
70	1655441700	250.6	23.42	15283.35
71	1655441760	246.65	23.42	15292.1
72	1655441820	243.25	23.38	15299.2
73	1655441880	248.35	23.38	15293.35
74	1655441940	247.0	23.41	15293.85
75	1655442000	252.9	23.39	15286.45
76	1655442060	241.2	23.33	15305.8
77	1655442120	244.55	23.35	15302.15
78	1655442180	241.15	23.3	15304.7
79	1655442240	234.7	23.27	15312.7
80	1655442300	238.35	23.28	15310.4
81	1655442360	221.75	23.15	15337.5
82	1655442420	219.85	23.17	15341.2
83	1655442480	223.05	23.16	15337.5
84	1655442540	222.85	23.17	15339.0
85	1655442600	225.1	23.16	15335.5
86	1655442660	222.75	23.17	15340.2
87	1655442720	232.65	23.22	15325.7
88	1655442780	232.5	23.23	15322.9
89	1655442840	236.8	23.24	15314.6
90	1655442900	241.0	23.26	15311.8
91	1655442960	235.75	23.24	15319.0
92	1655443020	241.25	23.26	15312.9
93	1655443080	244.0	23.29	15308.15
94	1655443140	245.6	23.33	15300.2
95	1655443200	244.4	23.3	15305.55
96	1655443260	237.4	23.28	15315.4
97	1655443320	235.2	23.25	15320.5
98	1655443380	230.5	23.22	15327.8
99	1655443440	236.1	23.21	15319.6
100	1655443500	234.55	23.2	15319.25
101	1655443560	238.3	23.19	15315.6
102	1655443620	244.35	23.18	15304.45
103	1655443680	241.45	23.3	15310.85
104	1655443740	234.55	23.26	15319.0
105	1655443800	232.65	23.23	15325.45
106	1655443860	237.35	23.22	15317.0
107	1655443920	239.15	23.25	15312.6
108	1655443980	238.0	23.25	15315.2
109	1655444040	241.55	23.27	15310.35
110	1655444100	237.9	23.22	15316.45
111	1655444160	238.65	23.2	15313.0
112	1655444220	232.55	23.16	15320.9
113	1655444280	233.1	23.18	15317.05
114	1655444340	231.65	23.17	15319.6
115	1655444400	227.85	23.15	15327.4
116	1655444460	230.55	23.14	15322.7
117	1655444520	235.1	23.13	15316.7
118	1655444580	237.45	23.13	15315.05
119	1655444640	242.25	23.12	15307.05
120	1655444700	233.8	23.16	15322.85
121	1655444760	237.8	23.13	15313.7
122	1655444820	237.7	23.11	15314.65
123	1655444880	242.45	23.18	15304.3
124	1655444940	243.7	23.2	15303.8
125	1655445000	254.1	23.22	15284.25
126	1655445060	256.1	23.29	15280.9
127	1655445120	260.55	23.25	15272.35
128	1655445180	260.5	23.33	15270.8
129	1655445240	256.0	23.3	15279.5
130	1655445300	265.25	23.33	15268.65
131	1655445360	274.3	23.35	15254.75
132	1655445420	271.9	23.38	15258.15
133	1655445480	271.55	23.39	15258.2
134	1655445540	279.7	23.42	15244.7
135	1655445600	283.15	23.42	15238.45
136	1655445660	278.35	23.47	15249.65
137	1655445720	282.7	23.48	15238.2
138	1655445780	287.1	23.45	15226.4
139	1655445840	283.5	23.41	15233.75
140	1655445900	283.5	23.41	15235.95
141	1655445960	280.15	23.46	15242.25
142	1655446020	289.35	23.47	15227.6
143	1655446080	289.8	23.48	15226.6
144	1655446140	281.4	23.45	15241.45
145	1655446200	278.7	23.41	15245.4
146	1655446260	284.55	23.43	15236.25
147	1655446320	290.0	23.42	15225.3
148	1655446380	287.75	23.46	15230.55
149	1655446440	287.85	23.47	15230.3
150	1655446500	280.15	23.47	15242.75
151	1655446560	282.15	23.45	15240.6
152	1655446620	281.8	23.47	15241.05
153	1655446680	281.9	23.43	15240.25
154	1655446740	281.55	23.46	15242.6
155	1655446800	283.05	23.47	15236.0
156	1655446860	284.15	23.4	15234.05
157	1655446920	285.9	23.41	15233.1
158	1655446980	282.95	23.4	15233.7
159	1655447040	277.9	23.4	15244.1
160	1655447100	274.5	23.35	15249.6
161	1655447160	278.15	23.4	15240.65
162	1655447220	271.55	23.34	15255.15
163	1655447280	264.75	23.34	15257.6
164	1655447340	268.6	23.32	15260.65
165	1655447400	260.35	23.23	15270.6
166	1655447460	262.45	23.27	15272.25
167	1655447520	265.85	23.31	15264.55
168	1655447580	267.8	23.33	15263.2
169	1655447640	274.2	23.35	15253.35
170	1655447700	276.85	23.37	15250.6
171	1655447760	274.05	23.4	15253.8
172	1655447820	270.4	23.41	15258.8
173	1655447880	273.4	23.39	15256.4
174	1655447940	265.0	23.35	15268.35
175	1655448000	270.8	23.38	15257.6
176	1655448060	268.95	23.36	15264.4
177	1655448120	268.5	23.34	15260.45
178	1655448180	266.55	23.3	15264.1
179	1655448240	263.95	23.3	15269.45
180	1655448300	258.45	23.27	15278.85
181	1655448360	254.7	23.2	15282.6
182	1655448420	261.5	23.26	15269.8
183	1655448480	255.05	23.24	15285.3
184	1655448540	256.7	23.24	15283.2
185	1655448600	257.85	23.26	15282.55
186	1655448660	260.9	23.3	15275.1
187	1655448720	263.3	23.33	15274.8
188	1655448780	271.55	23.41	15261.95
189	1655448840	272.4	23.45	15261.2
190	1655448900	271.4	23.41	15264.75
191	1655448960	271.25	23.45	15264.95
192	1655449020	268.0	23.4	15268.95
193	1655449080	253.25	23.33	15286.35
194	1655449140	248.45	23.23	15292.65
195	1655449200	246.0	23.23	15300.4
196	1655449260	238.3	23.1	15311.85
197	1655449320	245.1	23.21	15302.05
198	1655449380	255.0	23.28	15290.5
199	1655449440	258.85	23.29	15288.3
200	1655449500	244.65	23.29	15304.45
201	1655449560	247.65	23.36	15298.85
202	1655449620	253.1	23.36	15292.9
203	1655449680	251.8	23.35	15290.3
204	1655449740	253.1	23.38	15288.25
205	1655449800	256.55	23.36	15285.6
206	1655449860	262.0	23.37	15276.35
207	1655449920	264.05	23.4	15271.6
208	1655449980	255.0	23.36	15288.25
209	1655450040	255.0	23.37	15285.35
210	1655450100	273.15	23.31	15257.5
211	1655450160	269.4	23.4	15260.55
212	1655450220	275.4	23.36	15256.05
213	1655450280	273.55	23.37	15255.65
214	1655450340	263.5	23.36	15268.8
215	1655450400	264.2	23.39	15274.5
216	1655450460	250.6	23.3	15292.7
217	1655450520	247.65	23.25	15297.9
218	1655450580	243.7	23.26	15304.45
219	1655450640	231.5	23.21	15322.9
220	1655450700	239.95	23.26	15315.05
221	1655450760	241.55	23.35	15308.15
222	1655450820	255.2	23.39	15283.45
